id,date,time,country,nearest_places,hazard_type,landslide_type,trigger,storm_name,fatalities,injuries,source_name,source_link,location_description,location_accuracy,landslide_size,photos_link,cat_src,cat_id,countryname,near,distance,adminname1,adminname2,population,countrycode,continentcode,key,version,tstamp,changeset_id,latitude,longitude,geolocation
1,01/02/2007,,United Kingdom,"Whitehaven, Cumbria",landslide,Landslide,Rain,,1,,The Times,http://www.timesonline.co.uk/tol/newspapers/sunday_times/britain/article1288510.ece,,Known_within_5_km,Medium,,glc,1,United Kingdom,Whitehaven,0.22405,England,Cumbria,24803,GB,EU,sGaiIKdcW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,54.549399999999999,-3.5875,"(54.549399999999999, -3.5874999999999999)"
2,01/03/2007,,Peru,"Alto Mesapata, in the Pasco province",landslide,Complex,Rain,,,,My Opera,http://my.opera.com/bibberle/blog/index.dml/tag/Landslide,,Unknown,Medium,,glc,2,Peru,Huancabamba,12.261710000000001,Pasco,Provincia de Oxapampa,0,PE,SA,S95OsumK4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-10.383800000000001,-75.426699999999997,"(-10.383800000000001, -75.426699999999997)"
3,01/05/2007,,Brazil,"Nova Friburgo, Rio de Janeiro",landslide,Landslide,Rain,,7,,Deutsche Presse-Agentur - MonstersandCritics,http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil,,Known_within_25_km,Large,,glc,3,Brazil,Nova Friburgo,0.63016,Rio de Janeiro,Nova Friburgo,153361,BR,SA,D5vlNdgB7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-22.282346350000001,-42.536362050000001,"(-22.282346350000001, -42.536362050000001)"
4,01/05/2007,,Brazil,"Sumidouro, Rio de Janeiro",landslide,Landslide,Rain,,2,,Deutsche Presse-Agentur - MonstersandCritics,http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil,,Known_within_10_km,Medium,,glc,4,Brazil,Carmo,14.051439999999999,Rio de Janeiro,Carmo,11555,BR,SA,h5J8IFdc4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-22.045200000000001,-42.673400000000001,"(-22.045200000000001, -42.673400000000001)"
5,01/05/2007,,Brazil,"Jundiai, Sao Paulo",landslide,Landslide,Rain,,1,,Deutsche Presse-Agentur - MonstersandCritics,http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil,,Known_within_50_km,Medium,,glc,5,Brazil,Mairiporã,10.07582,São Paulo,Mairiporã,54415,BR,SA,s5Zb5FdB4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-23.231100000000001,-46.613599999999998,"(-23.231100000000001, -46.613599999999998)"
6,01/05/2007,,Pakistan,"Hallar Bridge, Kotli",landslide,Landslide,Rain,,13,,Daily Times of Pakistan,http://www.dailytimes.com.pk/default.asp?page=2007/01/06/story_6-1-2007_pg7_5,,Known_within_50_km,Medium,,glc,6,Pakistan,Palandri,19.212630000000001,Azad Kashmir,,0,PK,AS,sJDdkfmQU,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,33.545200000000001,73.706199999999995,"(33.545200000000001, 73.706199999999995)"
7,01/08/2007,,Brunei,Bandar Seri Begawan ,landslide,Landslide,Rain,,,,Borneo Bulletin - Brunei Direct,http://www.brudirect.com/DailyInfo/News/Archive/Jan07/080107/nite04.htm,,Known_within_10_km,Medium,,glc,7,Brunei,Bandar Seri Begawan,5.87279,Brunei and Muara,,64409,BN,AS,hJ_aZPKB4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,4.9833,114.917,"(4.9832999999999998, 114.917)"
8,01/08/2007,,Indonesia,"Sungai Sariak, Sumatra",landslide,Complex,Rain,,28,,indahnesia.com,http://news.indahnesia.com/item/200701096/13_buried_in_sumatra_landslide.php,,Known_within_25_km,Medium,,glc,8,Indonesia,Tanjungpati,42.084359999999997,West Sumatra,,0,ID,AS,DJR_uPcB4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,0.0667,100.9833,"(0.066699999999999995, 100.9833)"
9,01/11/2007,,Philippines,"Inupuan in Barangay Mainit, Nabunturan, Compostela Valley Province",landslide,Landslide,Unknown,,6,,Sun Star Online,http://www.sunstar.com.ph/static/net/2007/01/13/landslide.traps.11.compostela.valley.miners.html,,Known_within_25_km,Medium,,glc,9,Philippines,Manat,0.49587,Davao,Compostela,6148,PH,AS,D5F2sIZeFD,2,Fri Sep 12 2014 20:04:31 GMT+0000 (UTC),3141049488,7.5314,126.01300000000001,"(7.5313999999999997, 126.01300000000001)"
10,01/13/2007,,Sri Lanka,"Nuwara Eliya, Sri Lanka",landslide,Landslide,Rain,,2,,World Socialist Web Site - Asian Tribune,http://www.asiantribune.com/index.php?q=node/4361,,Known_within_10_km,Large,,glc,10,Sri Lanka,Nuwara Eliya,2.83392,Central,Nuwara Eliya District,25775,LK,AS,SJg9EkcQW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,6.9658,80.7577,"(6.9657999999999998, 80.7577)"
11,01/13/2007,,United Kingdom,"Merstham Tunnel, between Redhill and Coulsdon South",landslide,Landslide,Downpour,,,,Croydon Guardian,http://www.croydonguardian.co.uk/news/localnews/display.var.1126761.0.landslide_causes_train_derailment.php,,Known_within_5_km,Medium,,glc,11,United Kingdom,Redhill,2.42905,England,Surrey,51559,GB,EU,DJkVgQgc4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,51.288767890000003,-0.154356568,"(51.288767890000003, -0.154356568)"
12,01/14/2007,,Iran,"Mazandaran, Northern Iran",landslide,Complex,Rain,,,,Fars News Agency,http://english.farsnews.com/newstext.php?nn=8510240566,,Unknown,Large,,glc,12,Iran,Āmol,24.884630000000001,Māzandarān,,199382,IR,AS,s5iq1KdBW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,36.366700000000002,52.104199999999999,"(36.366700000000002, 52.104199999999999)"
13,01/11/2007,evening,Indonesia,Sangihe island,landslide,Mudslide,Downpour,,24,,Reuters - AlertNet.org,https://web.archive.org/web/20081205015640/http://www.alertnet.org/thenews/newsdesk/JAK86240.htm,Unknown,Known_within_25km,Large,,test,13,Indonesia,Manganitu,4.44417,,obe,0,ID,AS,s5yc7QNHAN,2,Fri Jan 08 2016 17:33:47 GMT+0000 (UTC),1373629,3.5424,125.5401,"(3.5424000000000002, 125.5401)"
14,01/17/2007,,Philippines,"Surigao Sur, Agusan del Sur",landslide,Landslide,Rain,,,,balita.ph,http://news.balita.ph/html/article.php/20070117102425566,,Known_within_25_km,Medium,,glc,14,Philippines,Guadalupe,5.49933,Caraga,Agusan del Sur,3381,PH,AS,D5FXuuBcU,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,8.618399999999999,125.67319999999999,"(8.6183999999999994, 125.67319999999999)"
15,01/18/2007,,Philippines,"Barangay Dalican in Bontoc, Mt. Province",landslide,Landslide,Rain,,5,,Manila standard today.com,http://www.manilastandardtoday.com/?page=regions3_jan22_2007,,Known_within_50_km,Medium,,glc,15,Philippines,Sagada,4.06522,Cordillera Administrative Region,Mountain Province,2830,PH,AS,S5yzZtQK7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,17.116700000000002,120.917,"(17.116700000000002, 120.917)"
16,01/19/2007,,China,"Wuning County, East China's Jiangxi Province",landslide,Landslide,Rain,,8,,The hindu.com,http://www.hindu.com/thehindu/holnus/003200701190924.htm,,Known_within_50_km,Medium,,glc,16,China,Cheqiao,1.73237,Jiangxi Sheng,,0,CN,AS,h9OXPtccW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,29.363099999999999,115.4786,"(29.363099999999999, 115.4786)"
17,01/31/2007,,Indonesia,"Dongala, Central Sulawesi",landslide,Landslide,Rain,,6,,People's Daily Online,http://english.people.com.cn/200701/31/eng20070131_346481.html,,Known_within_5_km,Medium,,glc,17,Indonesia,Donggala,2.61442,Central Sulawesi,,0,ID,AS,s5WVtPccU,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-0.6811,119.762,"(-0.68110000000000004, 119.762)"
18,02/02/2007,,Peru,"Inca Ruin trail, between Machu Picchu and Cusco city",landslide,Landslide,Rain,,5,,Unsure,,,Unknown,Medium,,glc,18,Peru,Ollantaytambo,14.94244,Cusco,Provincia de Urubamba,2000,PE,SA,D5SfLuFK4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-13.268000000000001,-72.400499999999994,"(-13.268000000000001, -72.400499999999994)"
19,02/04/2007,,Canada,Sea-to-sky Hwy between Vancouver and B.C.,landslide,Complex,Rain,,,,CTV news,http://www.ctv.ca/servlet/ArticleNews/story/CTVNews/20070204/bc_rockslide_070204/20070204?hub=Canada,,Known_within_10_km,Medium,,glc,19,Canada,Whistler,1.19034,British Columbia,,10600,CA,NA,D5Kz7AtcU,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,50.106699999999996,-122.9765,"(50.106699999999996, -122.9765)"
20,02/06/2007,,Indonesia,"Pandeglang regency, Banten province, Cadasari district",landslide,Landslide,Rain,,7,,ICL,http://cempaka-nature.blogspot.com/2007_01_07_archive.html,,Known_within_25_km,Medium,,glc,20,Indonesia,Cigudang,0.6654,Banten,,0,ID,AS,DG9rZtQQW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-6.25,106.1,"(-6.25, 106.1)"
21,02/07/2007,,United Kingdom,Devon,landslide,Landslide,Unknown,,,,Imedinews.com,http://www.imedinews.ge/en/news_read/19496,,Known_within_5_km,Medium,,glc,21,United Kingdom,Sidmouth,1.77064,England,Devon,11853,GB,EU,s5DJlKgQU,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,50.703499999999998,-3.2243,"(50.703499999999998, -3.2242999999999999)"
22,02/11/2007,,Brunei,Kampong Sg Akar,landslide,Landslide,Rain,,,,Borneo Bulletin - Brunei Direct,http://www.brudirect.com/DailyInfo/News/Archive/Feb07/100207/bb02.htm,,Known_within_50_km,Small,,glc,22,Brunei,Tutong,33.237220000000001,Tutong,,19151,BN,AS,SJkOPtcQU,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,4.4999,114.66670000000001,"(4.4999000000000002, 114.66670000000001)"
23,02/11/2007,,Fiji,"Raiwaqa, Mavua, Vunarewa, Toga, Tawatawadi, Vunaqoru and Koroua villages and Nabitu Settlements",landslide,Landslide,Rain,,,,Fiji Times Online,http://www.fijitimes.com/story.aspx?id=57018,,Known_within_50_km,Medium,,glc,23,Fiji,Nadi,27.83596,Western,,42284,FJ,OC,SGF2ZtBQ4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-18.0167,177.55,"(-18.0167, 177.55)"
24,02/11/2007,,United States,"Napa County, CA - @ Hwy 128",landslide,Landslide,Rain,,,,ABC7 news,http://abclocal.go.com/kgo/story?section=local&id=5024231,,Known_within_5_km,Small,,glc,24,United States,Yountville,9.96508,California,Napa County,2933,US,NA,h9o90CPQ4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,38.490900000000003,-122.3494,"(38.490900000000003, -122.3494)"
25,02/13/2007,,United Kingdom,"Newquay, Cornwall",landslide,Landslide,Rain,,,,UK-BBC.com,http://news.bbc.co.uk/2/hi/uk_news/england/cornwall/6363899.stm,,Known_within_10_km,Small,,glc,25,United Kingdom,Saint Columb Major,1.84621,England,Cornwall,3170,GB,EU,s9LUNgFK4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,50.444400000000002,-4.9527,"(50.444400000000002, -4.9527000000000001)"
26,02/14/2007,,United Kingdom,"Merstham Tunnel,  Surrey",landslide,Landslide,Rain,,,,BBC News,http://news.bbc.co.uk/2/hi/uk_news/england/surrey/6362977.stm,,Known_within_5_km,Small,,glc,26,United Kingdom,Redhill,2.42905,England,Surrey,51559,GB,EU,s9BXgKFQU,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,51.287772109999999,-0.15430659,"(51.287772109999999, -0.15430658999999999)"
27,02/15/2007,,United States,"Piper Road, Stevenson, WA",landslide,Landslide,Rain,,,,KGW,https://slidingthought.wordpress.com/tag/stevenson-landslide/,Above_river,Exact_Location,Medium,"https://slidingthought.files.wordpress.com/2009/06/dscf0957.jpg,http://bp1.blogger.com/_oR8NlmkKnuA/Rj0zps54JQI/AAAAAAAABDk/qAYJ3IiQj-4/s400/md.jpg",test,27,United States,Stevenson,0.67264,Washington,obe,1465,US,NA,s94ZAO-t7N,2,Thu Dec 17 2015 16:23:20 GMT+0000 (UTC),1947217970,45.699300000000001,-121.895,"(45.699300000000001, -121.895)"
28,02/19/2007,,Indonesia,"Semarang district, Central Java",landslide,Landslide,Rain,,21,,BBC News,http://news.bbc.co.uk/1/hi/world/asia-pacific/1825601.stm,,Known_within_50_km,Large,,glc,28,Indonesia,Magelang,22.714929999999999,Central Java,,111461,ID,AS,sJIEtPKBW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-7.28,110.14100000000001,"(-7.28, 110.14100000000001)"
29,02/25/2007,,Pakistan,"a village near Rawalakot, Kashmir",landslide,Landslide,Rain,,8,,Presstv,http://www.presstv.ir/detail.aspx?id=534&sectionid=3510204,,Known_within_50_km,Medium,,glc,29,Pakistan,Rāwala Kot,1.14371,Azad Kashmir,,50000,PK,AS,D5Xm8TmQW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,33.866700000000002,73.7667,"(33.866700000000002, 73.7667)"
30,02/27/2007,,United States,"San Francisco, CA",landslide,Complex,Rain,,,,MandC,http://news.monstersandcritics.com/usa/news/article_1270206.php/San_Francisco_hit_by_landslide,,Known_within_5_km,Medium,,glc,30,United States,San Francisco,4.28838,California,San Francisco County,805235,US,NA,S5_VACZKU,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,37.792299999999997,-122.4629,"(37.792299999999997, -122.4629)"
31,03/01/2007,,Indonesia,"Jakarta, East Nusantara Province",landslide,Landslide,Rain,,12,,News Xinhuet,http://news.xinhuanet.com/english/2007-03/04/content_5797299.htm,,Known_within_50_km,Medium,,glc,31,East Timor,Aileu,12.080920000000001,Aileu,Aileu Villa,17356,TL,OC,D9jLZtQB7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-8.699299999999999,125.67230000000001,"(-8.6992999999999991, 125.67230000000001)"
32,03/03/2007,,France,"Paris, Mont Blanc tunnel",landslide,Landslide,Unknown,,,,Reuters - AlertNet.org,http://www.alertnet.org/thenews/newsdesk/L03580399.htm,,Known_within_5_km,Small,,glc,32,France,Chamonix-Mont-Blanc,5.87091,Rhône-Alpes,Haute-Savoie,10614,FR,EU,S5FvdQdQ7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,45.873699999999999,6.8935,"(45.873699999999999, 6.8935000000000004)"
33,03/03/2007,,Indonesia,Manggarai,landslide,Landslide,Downpour,,3,,Red Cross - Field reports,http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2613,,Known_within_50_km,Medium,,glc,33,Indonesia,Rantang,6.70539,East Nusa Tenggara,,0,ID,AS,S5wottccW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-8.626481143,120.4401609,"(-8.6264811429999995, 120.4401609)"
34,03/02/2007,night,United States,"Kings Mountain Rd., Woodbridge, VA",landslide,Landslide,Rain,,,,NBC 4 news,http://www.nbc4.com/news/11186871/detail.html,Unknown,Known_within_1km,Small,,glc,34,United States,Cherry Hill,3.40765,Virginia,Prince William County,16000,US,NA,S93HcCKBvM,2,Thu Jan 07 2016 20:34:44 GMT+0000 (UTC),3068842942,38.600900000000003,-77.268199999999993,"(38.600900000000003, -77.268199999999993)"
35,03/12/2007,,India,Jammu-Srinagar highway,landslide,Landslide,Rain,,2,,Tribune India.com,http://www.tribuneindia.com/2007/20070313/j&k.htm#2,,Known_within_50_km,Medium,,glc,35,India,Srinagar,10.003349999999999,Kashmir,,975857,IN,AS,hJ3DufgK4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,34.093499999999999,74.911199999999994,"(34.093499999999999, 74.911199999999994)"
36,03/14/2007,,United Kingdom,"Shropshire farm;Billingsley, near Bridgnorth.",landslide,Landslide,Rain,,,,Shopshire news,http://www.shropshirestar.com/2007/03/farm-is-hit-by-landslide/,,Known_within_5_km,Small,,glc,36,United Kingdom,Highley,2.96254,England,Shropshire,3371,GB,EU,S90lgKFcU,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,52.456000000000003,-2.4244,"(52.456000000000003, -2.4243999999999999)"
37,03/19/2007,,India,Doba,landslide,Landslide,Rain,,2,,Tribune India.com,,,Known_within_25_km,Medium,,glc,37,India,Kupwāra,18.10887,Kashmir,IN.12.Kupwāra,14711,IN,AS,DJb4lyFQ7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,33.877800000000001,74.333299999999994,"(33.877800000000001, 74.333299999999994)"
38,03/20/2007,,Pakistan,"Muzaffarabad, Kashmir",landslide,Landslide,Rain,,40,,IOL,http://www.int.iol.co.za/index.php?set_id=1&click_id=126&art_id=nw20070320185758654C186026,,Known_within_25_km,Medium,,glc,38,Pakistan,Kahūta,10.21214,Punjab,,22551,PK,AS,DGHNnygQW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,33.570799999999998,73.494,"(33.570799999999998, 73.494)"
39,03/21/2007,,Nepal,"Salyan District, mid-western Nepal",landslide,Landslide,Rain,,,,English People's Online,http://english.people.com.cn/200703/21/eng20070321_359809.html,,Known_within_50_km,Medium,,test,39,Nepal,Salyān,1.36246,Mid Western,obe,0,NP,AS,hGZPtuWiFs,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,28.366700000000002,82.166700000000006,"(28.366700000000002, 82.166700000000006)"
40,03/21/2007,,Pakistan,"Islamabad, Kashmir",landslide,Landslide,Rain,,10,,Reuters - AlertNet.org,http://www.alertnet.org/thenews/newsdesk/IRIN/cd762a7e55cc29a72f2e39dec4074f17.htm,,Known_within_25_km,Medium,,glc,40,Pakistan,Islamabad,2.07567,Islāmābād,,601600,PK,AS,h9tAMqmc7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,33.703299999999999,73.037999999999997,"(33.703299999999999, 73.037999999999997)"
41,03/22/2007,,Malaysia,Putrajaya,landslide,Landslide,Downpour,,,,Red Cross - Field reports,http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2685,,Known_within_10_km,Medium,,glc,41,Malaysia,Putrajaya,1.14708,Putrajaya,,50000,MY,AS,S5oEZZcQ7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,2.943,101.69799999999999,"(2.9430000000000001, 101.69799999999999)"
42,03/22/2007,,United States,"New Philadelphia state Route 416, OH",landslide,Landslide,Rain,,,,Canton Rep.com,http://www.cantonrep.com/index.php?ID=345054&Category=9&subCategoryID=0,,Known_within_5_km,Small,,glc,42,United States,New Philadelphia,3.33522,Ohio,Tuscarawas County,17288,US,NA,hJHDYDgQ7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,40.517499999999998,-81.430499999999995,"(40.517499999999998, -81.430499999999995)"
43,03/23/2007,,Pakistan,"Doba Sayedan, Kashmir",landslide,Landslide,Downpour,,10,,Gulfnews.com,http://archive.gulfnews.com/articles/07/03/23/10113087.html,,Known_within_50_km,Medium,,glc,43,India,Kupwāra,9.48165,Kashmir,IN.12.Kupwāra,14711,IN,AS,sGKiKDPamS,2,Fri Sep 12 2014 19:59:55 GMT+0000 (UTC),597024780,33.965899999999998,74.331299999999999,"(33.965899999999998, 74.331299999999999)"
44,03/25/2007,,Tajikistan,Loyoba village blocked part of the road (500 metres) between Garm and Navobod settlements,landslide,Landslide,Downpour,,8,,Red Cross - Field reports,http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2675,Below_road,Known_within_25km,Small,,glc,44,Tajikistan,Darband,22.775230000000001,,,1115,TJ,AS,SGBXAZYBv6,2,Thu Jan 07 2016 21:19:10 GMT+0000 (UTC),1470289631,39.007100000000001,70.195099999999996,"(39.007100000000001, 70.195099999999996)"
45,03/26/2007,,United States,"Washington, Spirit Lake Memorial Hwy, East of Kidd valley",landslide,Landslide,Rain,,,,TDN.com,http://www.tdn.com/articles/2007/03/27/top_story/news01.txt,,Known_within_5_km,Medium,,glc,45,United States,Castle Rock,29.094380000000001,Washington,Cowlitz County,1982,US,NA,D5VcCAPc4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,46.354999999999997,-122.5479,"(46.354999999999997, -122.5479)"
46,03/26/2007,,Yemen,southern provinces of Hadramout and Mahaweet,landslide,Landslide,Rain,,,,Reuters - AlertNet.org,http://www.alertnet.org/thenews/newsdesk/L26560027.htm,,Unknown,Medium,,glc,46,Yemen,Shibām,8.84661,Al Maḩwīt,Shibām Kawkabān,0,YE,AS,s5yM1BgQ7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,15.450799999999999,43.960500000000003,"(15.450799999999999, 43.960500000000003)"
47,03/24/2007,3:30,Canada,"Ptarmigan Dr., Mission B.C",landslide,Landslide,Rain,,,,The Vancouver Province,http://www.canada.com/theprovince/news/story.html?id=89edb96c-e563-46c7-b34a-b5a2772243a5,Above_river,Known_within_1km,Large,,glc,47,Canada,Abbotsford,11.24896,British Columbia,CA.02.5957659,151683,CA,NA,DGt8E-QQvN,2,Thu Jan 07 2016 20:43:59 GMT+0000 (UTC),156194042,49.146099999999997,-122.3236,"(49.146099999999997, -122.3236)"
48,03/28/2007,,Afghanistan,"Badakhshan, Bamyan province ",landslide,Landslide,Flooding,,114,,United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/EVOD-6ZPEZU?OpenDocument,,Known_within_50_km,Large,,glc,48,Afghanistan,Kabul,0.83418,Kabul,,3043532,AF,AS,s5zZNfgQ7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,34.535299999999999,69.169600000000003,"(34.535299999999999, 69.169600000000003)"
